Output ID,Title,Journal
4403954,University-Industry Collaboration for Academic Success and Employability: A Connectivist Perspective,Studies in Higher Education
4401294,Commonality of 25 Component Themes of integrated care for children: rapid review of 170 models,BMC Health Service Research
4402062,A monetary policy accordion: Why do central banks from different countries expand and contract together?,Journal of Macroeconomics
4418125,Optimal Thresholds for Classification Trees using Nonparametric Predictive Inference,Communications in Statistics - Theory and Methods
4417989,Do Environmental Laws Matter For Corporate Ethics And Green Process Innovation In Environmental Performance?,IEEE Transactions on Engineering Management
4418114,Statistical Reproducibility of Umbrella Alternative Tests,Journal of Statistical Theory and Practice
4280496,"Children who cause harm are people too: A participatory action research project to understand families help-seeking for child-to-parent violence, and the (un)helpful responses",Journal of Family Violence
4280570,Trans-conceptual sampling: Bayesian inference with competing assumptions,Journal of Geophysical Research. Solid Earth
4280507,Governance and accountability in reshaping public services: Open challenges and Wicked Problems of the 21st Century,Public Administration
4401326,Reflections of a research team on using creative facilitation for the first time:  illuminating the lived experience of the school holidays for children and families living in poverty across England.,International Journal of Qualitative Methods
4277860,The Usefulness of Research Evidence for Improving Teaching: Insights from a Secondary Analysis of a Survey of Teachers,International Journal of Education and Research
4276926,A New History of the Ancient Greek City-State from the Early Iron Age to the End of Antiquity,Journal of Greek Archaeology
4279367,Real option portfolios and the theory of the multinational enterprise: Understanding modes of international involvement in the digital economy,Journal of International Business Studies
4301358,Debt targets and fiscal consolidation in a Euro Area HANK model,Quantitative Economics
4275183,What is family in an age of plague? The Liber Lynne and the urban family in late medieval England,Journal of British Studies
4276023,A note on the magnetic Steklov operator on functions,Mathematika
4277032,Sustainability Performance and Corporate Risk: Evidence from the Tourism Industry,International Journal of Finance & Economics
4279389,Sovereign Default with Unobservable Physical Capital,Theoretical Economics Letters
4206803,Large riverbed sediment flux sustained for a decade after an earthquake,Nature
4280699,Structural Estimation of Higher Order Risk Preferences,Econometrica
4127504,Pessimistic Luxury: An Alternative Discourse to Conceptualise Luxury,Luxury Studies
